Id,Capolino,PesoPrimaPulituraG,PesoDopoPulituraG,LarghCapolinoCm,AltezzaCapolinoCm,SampleCode,SamplingMonth
101,mammola,296.3,113.3,14,9.5,MZFCUP3,April
102,mammola,295.8,112.7,13.1,8.9,MZFCUP3,April
103,mammola,297.1,113,13.9,9.1,MZFCUP3,April
104,mammola,296.3,112.9,13.6,8.8,MZFCUP3,April
105,mammola,296.5,113,13.8,9.2,MZFCUP3,April
106,mammola,297.6,113,14.6,9.1,MZFCUP3,April
107,mammola,294.9,112.5,12.5,8.7,MZFCUP3,April
108,mammola,297.3,112.9,14.3,8.8,MZFCUP3,April
109,mammola,296.7,112.5,13.8,8.8,MZFCUP3,April
110,mammola,297.2,113.6,14.1,9.5,MZFCUP3,April
111,mammola,296.5,113.2,13.1,9,MZFCUP3,April
112,mammola,296.4,112.7,13.3,8.9,MZFCUP3,April
113,mammola,296.8,113,13.5,9.1,MZFCUP3,April
114,mammola,295.7,112.5,13,9,MZFCUP3,April
115,mammola,295.8,112.8,13.1,9.4,MZFCUP3,April
116,mammola,296.4,113.2,13.3,9.3,MZFCUP3,April
117,mammola,296.5,113,13.5,8.8,MZFCUP3,April
118,mammola,297.7,113.8,14.7,9.2,MZFCUP3,April
119,mammola,297.7,112.6,14.9,9.3,MZFCUP3,April
120,mammola,296,112.2,13,8.5,MZFCUP3,April
121,mammola,296.9,113.2,13.7,9.3,MZFCUP3,April
122,mammola,295.6,112.8,12.9,9,MZFCUP3,April
123,mammola,297.7,112.8,14.7,9,MZFCUP3,April
124,mammola,296.3,112.7,12.9,8.8,MZFCUP3,April
125,mammola,296.7,113.3,13.7,9.1,MZFCUP3,April
126,mammola,297.2,113.2,14,8.8,MZFCUP3,April
127,mammola,296.2,112.8,12.8,8.8,MZFCUP3,April
128,mammola,296.1,113,12.9,8.8,MZFCUP3,April
129,mammola,296.4,112.8,13.6,9.1,MZFCUP3,April
130,mammola,297.2,113,13.8,8.6,MZFCUP3,April
131,secondo,297.4,112.8,14.1,8.9,MZFCUP3,April
132,secondo,297.9,113.8,14.4,9,MZFCUP3,April
133,secondo,296.4,112.8,13.6,9.2,MZFCUP3,April
134,secondo,296.3,112.8,13.1,8.5,MZFCUP3,April
135,secondo,296.1,112.6,13.6,8.4,MZFCUP3,April
136,secondo,297.7,113,14.1,9.3,MZFCUP3,April
137,secondo,296.3,113.4,13.6,9.4,MZFCUP3,April
138,secondo,296.4,113.1,13.5,8.8,MZFCUP3,April
139,secondo,296,113,12.8,8.8,MZFCUP3,April
140,secondo,296.9,113.1,13.4,9.1,MZFCUP3,April
141,secondo,296.7,113.1,13.6,9.4,MZFCUP3,April
142,secondo,296.9,113.1,13.1,9.3,MZFCUP3,April
143,secondo,295.8,112.7,13.1,8.9,MZFCUP3,April
144,secondo,296.8,113.2,13.9,9.3,MZFCUP3,April
145,secondo,296.7,113.3,13.7,9.5,MZFCUP3,April
146,secondo,296.7,113,13.2,9.3,MZFCUP3,April
147,secondo,296.3,112.5,13,8.9,MZFCUP3,April
148,secondo,296.5,113,13.2,9,MZFCUP3,April
149,secondo,296.2,113.4,13.4,9.3,MZFCUP3,April
150,secondo,295.9,113,13.1,8.8,MZFCUP3,April
151,mammola,368.01,120.38,10.4,9.5,MLPMSP,May
152,mammola,319.7,95.4,9.5,9.1,MLPMSP,May
153,mammola,348.65,95.4,10.2,8.9,MLPMSP,May
154,mammola,409.41,134.37,10.8,9.8,MLPMSP,May
155,mammola,254.44,140.08,8.9,8.3,MLPMSP,May
156,secondo,201.87,91.46,8.2,7.3,MLPMSP,May
157,secondo,154.09,109.85,7.3,7.3,MLPMSP,May
158,secondo,144.49,69.3,7,7.2,MLPMSP,May
159,secondo,167.57,66.69,7.6,7.3,MLPMSP,May
160,secondo,185.82,72.24,7.8,7.7,MLPMSP,May
161,secondo,113.33,78.27,7,6.1,MLPMSP,May
162,secondo,168.13,55.23,7.2,7.7,MLPMSP,May
163,secondo,181.05,68.64,8.3,7.2,MLPMSP,May
164,secondo,222,83.49,8.3,8.2,MLPMSP,May
165,secondo,163.99,83.16,8.1,7.1,MLPMSP,May
166,secondo,168.32,55.2,7.3,7.7,MLPMSP,May
167,mammola,368.01,120.38,10.4,9.5,MLPCUP3,April
168,mammola,319.7,95.4,9.5,9.1,MLPCUP3,April
169,mammola,348.65,134.37,10.2,8.9,MLPCUP3,April
170,mammola,409.41,140.08,10.8,9.8,MLPCUP3,April
171,mammola,254.44,91.46,8.9,8.3,MLPCUP3,April
172,secondo,201.87,109.85,8.2,7.3,MLPCUP3,April
173,secondo,154.09,69.3,7.3,7.3,MLPCUP3,April
174,secondo,144.49,66.69,7,7.2,MLPCUP3,April
175,secondo,167.57,72.24,7.8,7.3,MLPCUP3,April
176,secondo,185.82,78.27,7.8,7.7,MLPCUP3,April
177,secondo,113.33,55.23,7,6.1,MLPCUP3,April
178,secondo,168.13,68.64,7.2,7.7,MLPCUP3,April
179,secondo,181.05,83.49,8.3,7.2,MLPCUP3,April
180,secondo,222,83.16,8.3,8.2,MLPCUP3,April
181,secondo,163.99,74.71,8.1,7.1,MLPCUP3,April
182,secondo,170.35,76.13,7.64,7.28,MLPCUP3,April
183,mammola,276.36,106.15,8.4,9.4,MLPMNB,June 
184,mammola,362.45,149.91,9.7,8.5,MLPMNB,June 
185,mammola,274.74,109.53,8.3,8.5,MLPMNB,June 
186,mammola,428.65,158.71,10.5,9.5,MLPMNB,June 
187,mammola,248.76,108.14,8.5,8.5,MLPMNB,June 
188,secondo,159.47,57.99,6.3,7.1,MLPMNB,June 
189,secondo,190.89,78.97,7.3,7.1,MLPMNB,June 
190,secondo,115.07,52.06,6.8,6.5,MLPMNB,June 
191,secondo,170.93,68.83,7.5,7.3,MLPMNB,June 
192,secondo,206.22,90.2,7.8,7.5,MLPMNB,June 
193,secondo,186.33,73.95,7.1,7.6,MLPMNB,June 
194,secondo,85,41.11,5.6,6.3,MLPMNB,June 
195,secondo,216.94,76.12,7.6,7.6,MLPMNB,June 
196,secondo,116.22,50.55,6.2,6.1,MLPMNB,June 
197,secondo,90.9,40.59,5.8,6.2,MLPMNB,June 
198,secondo,206.3,79.23,7.5,8.2,MLPMNB,June 
